SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
155.79,157.81,157.81,157.81,157.81,165.83,34.07,83.55,159.46,159.46,159.46,157.81,157.81,157.81,226.7,240.83,240.83,
184.28,182.26,182.26,182.26,182.26,278.41,170.36,182.83,182.42,182.42,182.42,182.26,182.26,182.26,282.63,297.78,297.78,
201.87,198.39,198.39,198.39,198.39,325.31,198.39,198.39,198.39,198.39,198.39,198.39,198.39,198.3,328.9,339.07,339.38,
207.21,202,202,202,244.07,278.96,202.5,244.07,200.22,200.22,200.22,202,202,202,278.96,278.96,278.96,
211.28,205.8,205.8,205.8,230.26,261.46,214.99,230.26,203.33,203.33,203.33,205.8,205.8,205.8,277.3,277.3,277.3,
189.88,189.91,189.91,189.91,189.91,189.91,189.18,190.08,189.91,189.91,189.91,189.91,189.91,189.91,276.39,276.39,276.39,
183.04,183.06,183.06,183.06,183.06,183.06,182.5,183.5,183.01,183.01,183.01,183.06,183.06,183.06,281.92,281.92,281.92,
213.88,211.44,211.44,211.44,214.94,304.75,211.36,214.94,210.48,210.48,210.48,211.44,211.44,191.46,320.7,320.7,320.7,
209.84,230.69,230.69,230.69,231.59,265.6,230.63,231.59,204.26,204.26,204.26,230.69,230.69,186.15,291.19,291.19,291.19,
194.44,194.8,194.8,194.8,194.8,263.44,193.86,194.8,194.09,193.87,194.09,195.35,195.35,184.18,273.25,273.25,273.25,
187.45,186.8,186.8,186.8,186.8,216.48,186.59,186.8,186.8,186.8,186.84,190.91,190.91,184.63,267.65,267.65,267.65,
200.13,200.65,200.65,200.65,200.65,231.02,200.65,200.65,200.65,200.65,200.65,200.65,200.65,187.41,293.1,293.1,294.22,
197.26,199.48,199.48,199.48,199.48,199.48,199.48,199.48,199.48,199.48,199.48,199.48,199.48,187.48,288.15,288.15,288.15,
189.66,190.36,190.36,190.36,190.36,190.36,190.36,190.36,190.36,190.36,190.36,190.36,190.36,186.46,279.6,279.6,279.6,
212.68,208.44,208.44,208.44,208.44,293.4,207.06,208.44,207.06,207.06,207.06,208.44,208.44,187.18,310.94,310.94,310.94,
