SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
248.14,337.61,337.61,337.61,361.56,337.61,364.71,364.71,230.81,230.81,230.81,230.73,230.73,230.73,337.61,368.91,368.91
248.02,334.21,334.21,334.21,334.21,336.82,330.9,334.21,232.39,232.39,230.53,230.51,230.51,230.5,336.82,349.96,349.96
243.27,336.4,336.4,336.4,336.4,337.61,336.4,336.4,226.41,226.41,226.36,223.77,223.77,223.77,337.61,338.99,338.99
236.42,270.48,270.48,270.48,270.48,285.11,271.29,271.29,224.43,224.43,224.43,222.05,222.05,221.37,285.11,288.28,288.28
232.75,262.93,262.93,262.93,262.93,270.8,262.93,262.93,230,230,230,220.25,220.25,215.62,270.8,282.94,282.94
221.04,228.77,228.77,228.77,228.77,232.26,208.04,228.77,221.35,221.35,221.33,218.67,218.67,214.46,232.26,232.26,232.26
238.7,251.66,251.66,251.66,251.66,420.33,216.9,251.66,232.63,232.63,230.22,222.57,222.57,222.29,420.33,420.33,420.33
251.55,304.96,304.96,304.96,304.96,399.76,303.31,304.96,237.47,237.47,235.21,224.27,224.27,224.27,399.76,399.76,399.76
264.35,367.87,367.87,367.87,368.31,382.13,369.38,369.38,244.57,244.57,243.47,230.6,230.6,225.03,382.13,385.86,385.86
271.18,375.18,375.18,375.18,375.18,391.81,379.54,380.31,249.19,249.19,248.54,241.78,241.78,216.43,391.81,396.01,396.01
270.88,359.37,359.37,359.37,359.37,447.13,359.31,361.1,258.86,258.86,256.94,243.11,243.11,222.45,447.13,455.03,455.03
261.55,310.4,310.4,310.4,310.4,353.09,301.06,310.4,259,259,257.67,235.17,235.17,215.22,353.09,406.56,406.56
259.67,313.51,313.51,313.51,313.51,317.29,316.41,316.41,260.28,260.28,260.27,228.5,228.5,203.9,317.29,421.64,421.64
268.64,386.5,386.5,386.5,386.5,413.39,387.95,387.95,258.71,258.71,258.71,223.86,223.86,214.43,413.39,436.49,436.49
265.99,348.6,348.6,348.6,348.6,352.88,350.66,350.66,258.72,258.72,258.72,227.99,227.99,208.81,352.88,373.38,373.38
