SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
349.77,323.42,323.42,323.42,323.54,323.42,324.39,324.39,369.31,369.31,369.31,334.18,334.18,332.82,297.76,297.76,,268.83
326.26,295.08,295.08,295.08,295.08,295.08,288.51,295.08,355.86,355.86,358.94,328.62,328.62,327.26,293.04,293.04,,250.36
328.73,303.68,303.68,303.68,303.68,303.68,303.68,303.68,354.45,354.45,354.45,323.61,323.61,323.61,301.67,301.67,,238
373.55,371.38,371.38,371.38,371.38,371.38,371.38,371.38,376.45,376.45,376.45,371.57,371.57,371.57,331.01,331.01,,408.55
350.41,345.68,345.68,345.68,345.72,345.68,345.72,345.72,359.79,359.79,359.79,348.81,348.81,348.81,342.41,403.49,,426.81
325.91,321,321,321,321,321,319.54,319.54,341.54,341.54,341.54,327.1,327.1,327.1,320.93,423.75,,295.61
301.3,297.03,297.03,297.03,297.03,297.03,297.02,297.03,303.28,303.28,303.28,297.03,297.03,298.14,284.26,284.26,,259.92
304.72,305.86,305.86,305.86,305.86,305.86,297.73,305.86,305.86,305.86,305.86,307.83,307.83,307.83,280.62,280.62,,368.31
287.05,284.22,284.22,284.22,284.22,284.22,284.22,284.22,284.22,284.22,284.22,307.74,307.74,310.95,284.22,284.22,,363.23
293.29,292.77,292.77,292.77,292.77,292.77,292.77,292.77,292.77,292.77,292.77,296.55,296.55,301.34,292.77,293.14,,402.51
340.13,339.94,339.94,339.94,339.94,352.2,337.86,339.94,339.94,339.62,339.94,339.94,339.94,339.94,352.2,396.92,,435.87
340.76,344.27,344.27,344.27,344.27,344.27,337.63,344.27,338.77,337.82,338.77,344.27,344.27,344.27,344.27,410,,409.08
334.56,334.93,334.93,334.93,334.93,340.09,326.9,334.93,334.57,334.57,334.57,334.93,334.93,334.93,340.09,382.9,,451.36
312.57,311.47,311.47,311.47,311.47,311.47,312.89,313.02,315.24,315.24,315.24,311.47,311.47,311.47,311.47,336.98,,367.8
293.91,294.39,294.39,294.39,294.39,294.83,294.33,312.92,292.96,292.96,292.96,294.39,294.39,294.39,299.69,323.37,,365.51
261.25,263.19,263.19,263.19,263.19,263.19,250.67,250.67,263.19,263.19,263.19,263.19,263.19,263.19,271.33,307.79,,211.09
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,,380.68
282.82,293.02,293.02,293.02,293.02,312.31,268.37,293.02,257.17,257.17,257.17,293.02,293.02,293.02,325.74,360.07,,454.52
320.8,348.77,348.77,348.77,348.77,348.77,349.1,350.11,300.05,300.05,300.05,324.15,324.15,314.93,352.03,432.38,,444.31
288.55,297.23,297.23,297.23,297.23,297.23,281.02,298.91,281.44,281.44,281.44,297.23,297.23,287.37,302.86,395.02,,442.53
326.61,338.73,338.73,338.73,338.73,338.73,380.31,387.45,313.61,313.61,313.61,325.58,325.58,325.58,343.61,348.03,,400.73
328.7,368,368,368,392.52,368,399.73,399.73,313.38,313.38,313.38,339.3,339.3,339.3,367.31,370.72,,378.46
285.92,284.84,284.84,284.84,284.84,299.49,284.85,284.84,284.84,284.84,284.84,284.84,284.84,284.84,299.84,316.14,,378.84
247.11,241.65,241.65,241.65,241.65,277.96,211.67,237.61,239.88,239.88,239.88,241.65,241.65,241.65,339.9,342.85,,377.75
351.03,384.57,384.57,384.57,384.57,384.72,399.55,399.55,327.03,327.03,317.16,362.18,362.18,340.44,384.72,387.14,,390.73
331.81,342.03,342.03,342.03,342.03,342.03,351.74,352.21,328.85,328.85,325.82,335.91,335.91,326.47,342.65,387.76,,417.09
332.09,339.5,339.5,339.5,339.5,339.5,339.5,368.62,324.55,324.55,323.01,338.53,338.53,338.5,344.7,347.92,,382.24
319.09,322.38,322.38,322.38,322.38,326.85,322.38,322.38,317.54,317.54,315.91,321.85,321.85,321.7,339.29,345.64,,370.81
306.9,304.77,304.77,304.77,304.77,341.95,304.77,304.77,300.17,300.17,300.17,304.77,304.77,303.49,343.71,344.44,,357.04
286.16,282.09,282.09,282.09,282.09,331.02,282.09,284.88,282.09,282.09,282.09,282.09,282.09,282.09,332.94,332.94,,228.7
261.99,261.98,261.98,261.98,261.98,262.1,261.98,261.98,261.98,261.98,261.98,261.98,261.98,261.98,266.55,266.55,,466.28
317.26,310.36,310.36,310.36,310.36,392.87,302.6,310.36,302.6,302.6,302.6,310.36,310.36,310.36,393.92,,399.28,399.28
